cost_center,ccs,address,city,latitude,longitude,franchise,franchise_brand,display_brand,op_status,division_name,tactic_division_name,distance,country,url,services
6000939,0,2222 BOUL. WALBERG,DOLBEAU-MISTASSINI,48.8837600,-72.2492450,0,,Couche-Tard,OPEN,quebec,quebec,242.0465785220912,CA,/store-locator/CA/dolbeau-mistassini/2222-boul-walberg/6000939,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}]"
6000908,0,1721 BOUL. WALLBERG,DOLBEAU,48.8813740,-72.2323170,0,,Couche-Tard,OPEN,quebec,quebec,242.0858040675923,CA,/store-locator/CA/dolbeau/1721-boul-wallberg/6000908,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'pastries', 'display_name': 'Pastries', 'icon': 'pastries'}, {'name': 'hotdog', 'display_name': 'Hotdog', 'icon': 'hotdog'}]"
6000951,0,40 RUE DEQUEN,DOLBEAU-MISTASSINI,48.8899540,-72.2070010,0,,Couche-Tard,OPEN,quebec,quebec,242.95513571331904,CA,/store-locator/CA/dolbeau-mistassini/40-rue-dequen/6000951,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}, {'name': 'fresh_food_fast', 'display_name': 'Fresh Food Fast', 'icon': 'food'}, {'name': 'pastries', 'display_name': 'Pastries', 'icon': 'pastries'}, {'name': 'hotdog', 'display_name': 'Hotdog', 'icon': 'hotdog'}]"
6000953,0,196 RUE HOTEL-DE-VILLE,RIVIERE-DU-LOUP,47.8343470,-69.5395780,0,,Couche-Tard,OPEN,quebec,quebec,248.47596179408197,CA,/store-locator/CA/riviere-du-loup/196-rue-hotel-de-ville/6000953,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}, {'name': 'pastries', 'display_name': 'Pastries', 'icon': 'pastries'}, {'name': 'hotdog', 'display_name': 'Hotdog', 'icon': 'hotdog'}]"
6000950,0,446 LAFONTAINE,RIVIERE-DU-LOUP,47.8293380,-69.5332640,0,,Couche-Tard,OPEN,quebec,quebec,248.4879041849151,CA,/store-locator/CA/riviere-du-loup/446-lafontaine/6000950,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}]"
6000507,0,960 ROUTE DES ROCHES,ST-ANTONIN,47.7604400,-69.4325690,0,,Couche-Tard,OPEN,quebec,quebec,249.2453853494684,CA,/store-locator/CA/st-antonin/960-route-des-roches/6000507,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}]"
6000668,0,1892 AVENUE DE LA MADAWASKA,DEGELIS,47.4878220,-68.4831580,0,,Couche-Tard,OPEN,quebec,quebec,276.1252983377496,CA,/store-locator/CA/degelis/1892-avenue-de-la-madawaska/6000668,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}]"
6002119,0,191 RUE VICTORIA,EDMUNSTON,47.3694420,-68.3238750,0,,Couche-Tard,OPEN,quebec,quebec,279.20155637943276,CA,/store-locator/CA/edmunston/191-rue-victoria/6002119,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}]"
6002045,0,195 BROADWAY STREET,WOODSTOCK,46.1422000,-67.5825920,0,,Couche-Tard,OPEN,quebec,quebec,292.0326805981987,CA,/store-locator/CA/woodstock/195-broadway-street/6002045,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}]"
6002014,0,121 ROUTE 255,ST-ANDRE,47.0779800,-67.7676200,0,,Couche-Tard,OPEN,quebec,quebec,295.86340421581457,CA,/store-locator/CA/st-andre/121-route-255/6002014,"[{'name': 'gas', 'display_name': 'Gas', 'icon': 'gas'}, {'name': 'diesel', 'display_name': 'Diesel', 'icon': 'diesel'}, {'name': 'public_restrooms', 'display_name': 'Public Restrooms', 'icon': 'public_restrooms'}, {'name': 'coffee', 'display_name': 'Coffee', 'icon': 'coffee'}, {'name': 'froster', 'display_name': 'Froster', 'icon': 'froster'}, {'name': 'sloche', 'display_name': 'Sloche', 'icon': 'sloche'}, {'name': 'hotdog', 'display_name': 'Hotdog', 'icon': 'hotdog'}]"
